"","lat","lon"
"200",39.199682456,-74.799126194
"201",39.199682456,-74.798126194
"202",39.199682456,-74.797126194
"203",39.199682456,-74.796126194
"204",39.199682456,-74.795126194
"205",39.199682456,-74.794126194
"206",39.199682456,-74.793126194
"207",39.199682456,-74.792126194
"208",39.199682456,-74.791126194
"209",39.199682456,-74.790126194
"210",39.199682456,-74.789126194
"211",39.199682456,-74.788126194
"212",39.199682456,-74.787126194
"213",39.199682456,-74.786126194
"214",39.199682456,-74.785126194
"215",39.199682456,-74.784126194
"216",39.199682456,-74.783126194
"217",39.199682456,-74.782126194
"218",39.199682456,-74.781126194
"219",39.199682456,-74.780126194
"220",39.199682456,-74.779126194
"221",39.199682456,-74.778126194
"222",39.199682456,-74.777126194
"223",39.199682456,-74.776126194
"224",39.199682456,-74.775126194
"225",39.199682456,-74.774126194
"226",39.199682456,-74.773126194
"227",39.199682456,-74.772126194
"228",39.199682456,-74.771126194
"229",39.199682456,-74.770126194
"230",39.199682456,-74.769126194
"231",39.199682456,-74.768126194
"232",39.199682456,-74.767126194
"233",39.199682456,-74.766126194
"234",39.199682456,-74.765126194
"235",39.199682456,-74.764126194
"236",39.199682456,-74.763126194
"237",39.199682456,-74.762126194
"238",39.199682456,-74.761126194
"239",39.199682456,-74.760126194
"240",39.199682456,-74.759126194
"241",39.199682456,-74.758126194
"242",39.199682456,-74.757126194
"243",39.199682456,-74.756126194
"244",39.199682456,-74.755126194
"245",39.199682456,-74.754126194
"246",39.199682456,-74.753126194
"247",39.199682456,-74.752126194
"248",39.199682456,-74.751126194
"249",39.199682456,-74.750126194
"250",39.199682456,-74.749126194
"251",39.199682456,-74.748126194
"252",39.199682456,-74.747126194
"253",39.199682456,-74.746126194
"254",39.199682456,-74.745126194
"255",39.199682456,-74.744126194
"256",39.199682456,-74.743126194
"257",39.199682456,-74.742126194
"258",39.199682456,-74.741126194
"259",39.199682456,-74.740126194
"260",39.199682456,-74.739126194
"261",39.199682456,-74.738126194
"262",39.199682456,-74.737126194
"263",39.199682456,-74.736126194
"264",39.199682456,-74.735126194
"265",39.199682456,-74.734126194
"266",39.199682456,-74.733126194
"267",39.199682456,-74.732126194
"268",39.199682456,-74.731126194
"269",39.199682456,-74.730126194
"270",39.199682456,-74.729126194
"271",39.199682456,-74.728126194
"272",39.199682456,-74.727126194
"273",39.199682456,-74.726126194
"274",39.199682456,-74.725126194
"275",39.199682456,-74.724126194
"276",39.199682456,-74.723126194
"277",39.199682456,-74.722126194
"278",39.199682456,-74.721126194
"279",39.199682456,-74.720126194
"280",39.199682456,-74.719126194
"281",39.199682456,-74.718126194
"282",39.199682456,-74.717126194
"283",39.199682456,-74.716126194
"284",39.199682456,-74.715126194
"285",39.199682456,-74.714126194
"286",39.199682456,-74.713126194
"287",39.199682456,-74.712126194
"288",39.199682456,-74.711126194
"289",39.199682456,-74.710126194
"290",39.199682456,-74.709126194
"291",39.199682456,-74.708126194
"292",39.199682456,-74.707126194
"293",39.199682456,-74.706126194
"294",39.199682456,-74.705126194
"295",39.199682456,-74.704126194
"296",39.199682456,-74.703126194
"297",39.199682456,-74.702126194
"298",39.199682456,-74.701126194
"299",39.199682456,-74.700126194
"300",39.199682456,-74.699126194
"301",39.199682456,-74.698126194
"302",39.199682456,-74.697126194
"303",39.199682456,-74.696126194
"304",39.199682456,-74.695126194
"305",39.199682456,-74.694126194
"306",39.199682456,-74.693126194
"307",39.199682456,-74.692126194
"308",39.199682456,-74.691126194
"309",39.199682456,-74.690126194
"310",39.199682456,-74.689126194
"311",39.199682456,-74.688126194
"312",39.199682456,-74.687126194
"313",39.199682456,-74.686126194
"314",39.199682456,-74.685126194
"315",39.199682456,-74.684126194
"316",39.199682456,-74.683126194
"317",39.199682456,-74.682126194
"318",39.199682456,-74.681126194
"319",39.199682456,-74.680126194
"320",39.199682456,-74.679126194
"321",39.199682456,-74.678126194
"322",39.199682456,-74.677126194
"323",39.199682456,-74.676126194
"324",39.199682456,-74.675126194
"325",39.199682456,-74.674126194
"326",39.199682456,-74.673126194
"327",39.199682456,-74.672126194
"328",39.199682456,-74.671126194
"329",39.199682456,-74.670126194
"330",39.199682456,-74.669126194
